,Film,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Film ID
0,Wings,1927,144,"Drama,Romance,War",7.5,"12,221",2becf7d5-a3de-46ab-ae45-abdd6b588067
1,7th Heaven,1927,110,"Drama,Romance",7.7,"3,439",19ed3295-a878-4fd2-8e60-5cd7b5f93dad
2,The Racket,1928,84,"Crime,Drama,Film-Noir",6.7,"1,257",3111c2d8-0908-4093-8ff3-99c89f2f2f08
3,The Broadway Melody,1929,100,"Drama,Musical,Romance",5.7,"6,890",de063f3f-2d35-4e1c-8636-6eb4c16bd236
4,Alibi,1929,91,"Action,Crime,Romance",5.8,765,609887c2-877c-43a4-b88c-e40e31096a98
5,Hollywood Revue,1929,130,"Comedy,Music",5.7,"2,004",689f22d5-a700-4ce1-b9be-65652f32c186
6,In Old Arizona,1928,95,Western,5.6,"1,019",a0644f19-a136-44c2-ab5d-50978ef19608
7,The Patriot,1928,113,"Drama,History,Thriller",7.4,18,5d4ef7bd-2f81-47f3-9305-2c8fe140d4e4
8,All Quiet on the Western Front,1930,152,"Drama,War",8.1,"59,214",281742f9-3b4e-480d-b704-c8c15de6b721
9,The Big House,1930,87,"Crime,Drama,Thriller",7.1,"2,079",297aa285-29d7-4a22-b833-c5632ab3e562
10,Disraeli,1929,90,"Biography,Drama,History",6.2,"1,143",831f96b0-ebf5-4e09-b47c-d39817b86092
11,The Divorcee,1930,84,"Romance,Drama",6.7,"2,982",71614648-8545-4f91-a15e-4991f0eb7f13
12,The Love Parade,1929,107,"Comedy,Musical,Romance",7.0,"2,163",0dbbedb5-b8f0-4f0a-9ff7-95e75e43eca7
13,Cimarron,1931,123,"Drama,Western",5.9,"5,851",db2683c0-128e-4b5c-858f-d9f18c2fb9b9
14,East Lynne,1931,102,"Drama,Romance",5.9,188,ed8c7dfc-97ab-4825-8bbc-74d31292acb4
15,The Front Page,1931,101,"Comedy,Crime,Drama",6.8,"2,741",c873d149-786b-413f-ba9d-9978040b5436
16,Skippy,1931,85,"Comedy,Drama,Family",6.3,772,0f7347c9-a0a5-430b-8f28-43d703c9c4c8
17,Trader Horn,1931,122,"Action,Adventure,Drama",6.3,957,bd308f8f-cb26-43a0-8b5b-f110934927e0
18,Grand Hotel,1932,112,"Drama,Romance",7.4,"18,314",be69f946-6adc-47e4-8491-79d6c033f59d
19,Arrowsmith,1931,108,Drama,6.2,"1,663",91572891-4303-45c2-967a-601b9fa8fe70
20,Bad Girl,1931,90,"Drama,Romance",6.5,"1,248",e97f865a-8711-465a-88da-423b67c08738
21,The Champ,1931,86,"Drama,Sport",7.3,"3,003",c8994348-093e-4e22-8ffe-6ad3332a2bab
22,Five Star Final,1931,89,"Crime,Drama",7.3,"1,944",9236968a-9ea9-473b-abe2-28ec8c141a8e
23,One Hour with You,1932,78,"Comedy,Musical,Romance",7.2,"2,317",2299e2df-e18d-41d7-b5b9-ec0041db956d
